row_id,episode_ordinal,episode_id,split,model_step,raw_step,transition_block,normalized_position,interaction_contact,support_contact,free,sensor_grasp_onset,sensor_release,mse_model,mse_persistence,excess,mse_model_whitened,mse_persistence_whitened,excess_whitened,phase_decile,interaction_contact_relabel,block_disp,effector_disp,transport_free,static,regime
10,0,0,calibration,13,65,12,0.325,True,False,False,False,False,0.0412361808121204,0.1660471707582473,-0.1248109936714172,10.02445560545618,2.008024296560515,8.016431308895664,3,True,0.06330380146410695,0.06302936813000913,False,False,interaction
11,0,0,calibration,14,70,13,0.35,True,True,False,False,True,0.0206910129636526,0.0768868401646614,-0.0561958253383636,7.382024378552071,0.9821193130745112,6.39990506547756,3,True,0.02696175740268574,0.030811082999235358,False,False,interaction
12,0,0,calibration,15,75,14,0.375,False,True,True,False,False,0.0745980367064476,0.102425992488861,-0.0278279557824134,7.724039870284653,0.8394365217247423,6.884603348559911,3,False,0.0005574120824431728,0.032768599479873324,True,False,transport_free
13,0,0,calibration,16,80,15,0.4,False,True,True,False,False,0.1290191262960434,0.2491134852170944,-0.120094358921051,6.600310232437562,0.7994096579988845,5.8009005744386775,4,False,1.0958742637420334e-09,0.08094055309119277,True,False,transport_free
14,0,0,calibration,17,85,16,0.425,False,True,True,False,False,0.0542476028203964,0.1604375541210174,-0.106189951300621,6.545702138772856,0.7814430691708507,5.764259069602005,4,False,1.6274960797427188e-15,0.06924968246788434,True,False,transport_free
15,0,0,calibration,18,90,17,0.45,False,True,True,False,False,0.041692029684782,0.1182668805122375,-0.0765748471021652,8.640872209050654,1.2965891450443656,7.344283064006288,4,False,0.0,0.08186434003133607,True,False,transport_free
16,0,0,calibration,19,95,18,0.475,False,True,True,False,False,0.016534311696887,0.0707166194915771,-0.0541823059320449,7.916064356864562,0.7526834059556146,7.163380950908948,4,False,0.0,0.06988490087054096,True,False,transport_free
17,0,0,calibration,20,100,19,0.5,False,True,True,False,False,0.0426918230950832,0.1626026481389999,-0.1199108213186264,6.973227358961822,1.0283897796889288,5.9448375792728925,5,False,0.0,0.06022793127104325,True,False,transport_free
18,0,0,calibration,21,105,20,0.525,False,True,True,False,False,0.0071436516009271,0.1007022932171821,-0.0935586392879486,6.691729311594448,0.7024004504089625,5.989328861185485,5,False,0.0,0.06073017204073398,True,False,transport_free
19,0,0,calibration,22,110,21,0.55,False,True,True,False,False,0.0132570220157504,0.2074359208345413,-0.194178894162178,6.883254856846729,0.9455890867335204,5.937665770113208,5,False,0.0,0.06435832290071325,True,False,transport_free
20,0,0,calibration,23,115,22,0.575,True,True,False,True,False,0.0025048304814845,0.0395915694534778,-0.0370867401361465,7.781833706063412,0.7389512845663028,7.042882421497109,5,True,0.001584509710376156,0.010491438061818369,False,False,interaction
21,0,0,calibration,24,120,23,0.6,True,True,False,False,False,0.0480596981942653,0.1053197607398033,-0.0572600625455379,10.295063540168275,1.9134115419895512,8.381651998178723,6,True,0.03180646637898911,0.03145546123752089,False,False,interaction
22,0,0,calibration,25,125,24,0.625,True,False,False,False,False,0.0993555411696434,0.3316942751407623,-0.2323387265205383,12.257332235475356,1.684651129939137,10.572681105536216,6,True,0.09103495069301253,0.09121140586224641,False,False,interaction
23,0,0,calibration,26,130,25,0.65,True,False,False,False,False,0.2204044908285141,0.5025525689125061,-0.2821480631828308,10.191980976716907,2.0264383875544936,8.165542589162413,6,True,0.09218275995709721,0.09264260715486856,False,False,interaction
24,0,0,calibration,27,135,26,0.675,True,False,False,False,False,0.1047757789492607,0.467231273651123,-0.3624554872512817,5.360427537218733,3.202227606175219,2.158199931043514,6,True,0.08190444486948384,0.08279506481801875,False,False,interaction
25,0,0,calibration,28,140,27,0.7,True,False,False,False,False,0.0478831529617309,0.2242481261491775,-0.1763649731874466,6.12789121778692,2.0223535597104383,4.105537658076482,7,True,0.0499836781042414,0.04988561468408823,False,False,interaction
26,0,0,calibration,29,145,28,0.725,True,False,False,False,False,0.0694304034113884,0.415702611207962,-0.346272200345993,6.596706698275068,1.4580320471131702,5.138674651161898,7,True,0.07862643499365679,0.07843028181247075,False,False,interaction
