adaptive_flops_per_transition,baseline_flops_per_transition,benefit_vs_d1,benefit_vs_matched,benefit_vs_null,call_nondominated,candidate,critic_variant,d1_ci_low,expected_ci_low,expected_matched_raw_mse,family,flop_nondominated,gate_decisions,key,lcb_z,matched_ci_high,matched_ci_low,matched_raw_mse,mean_calls,null_ci_low,raw_mse,solver_latency_seconds,target_mean_calls,whitened_benefit_vs_matched,whitened_ci_low,whitened_mse
72167502.90225564,71225932.4962406,1.6989518273685988e-05,9.905603105368041e-06,1.0393516678143675e-05,True,stagewise__full,full,1.0235581287002119e-05,6.295775609402894e-06,0.003115264065820668,stagewise,False,3524,z1.00_b1.25,1.0,1.745097714703939e-05,2.655651571289935e-06,0.0031131407868863,1.1040100250626566,4.32524909199327e-06,0.0031032351837809316,0.047345667000627145,1.25,0.00039843536044566647,8.764695885474444e-05,0.07873801855729361
72325487.74436091,71263949.93984963,3.075718009575412e-05,2.0553790244249332e-05,1.9366149614794987e-05,True,stagewise__full,full,2.1299771414166676e-05,1.198114929289487e-05,0.0031084207784858827,stagewise,False,3973,z1.00_b1.50,1.0,3.0073644982047353e-05,1.1038068209346332e-05,0.003110021312203113,1.2474937343358397,1.2310528559499377e-05,0.0030894675219588635,0.044478000010713004,1.5,0.0005773809102836458,0.00016815259957074017,0.07803953190510082
72638528.70676692,71341063.92481203,4.7518506887302336e-05,2.2288223346394782e-05,2.3102141588659058e-05,True,stagewise__full,full,3.512687851064112e-05,1.4966356632755549e-05,0.003094539962036066,stagewise,False,4856,z1.00_b2.00,1.0,3.0401174663986923e-05,1.3591062532642517e-05,0.00309499441851371,1.538533834586466,1.4835644802966308e-05,0.0030727061951673156,0.06363674999738578,2.0,0.0006562756848872805,0.00022647472152631778,0.07703555924292863
72969400.88721804,71430130.9924812,5.7839987254138446e-05,1.31371186733687e-05,2.7420483713016675e-05,True,stagewise__full,full,4.344131393303369e-05,1.0351246644961187e-05,0.0030785075443281514,stagewise,False,5761,z1.00_b2.50,1.0,1.9205817032908777e-05,6.284551084930248e-06,0.003075521833473848,1.8746867167919798,1.9263598415251127e-05,0.0030623847148004792,0.06938674999400973,2.5,0.00012372090486255662,-0.0001890937529300103,0.07616789084461321
71264862.72180451,71258388.43609023,6.3347790346779676e-06,-5.636548089945367e-06,-7.977359417597191e-06,False,stagewise__compact,compact,1.4945962583736087e-07,-9.678253765271345e-06,0.0031094218707379143,stagewise,False,3914,z0.00_b1.25,0.0,6.448103898067142e-07,-1.2452038501400702e-05,0.0031082533749299942,1.2265037593984962,-1.5937870285827677e-05,0.00311388992301994,0.06170024999300949,1.25,-0.00042896747085201784,-0.0006872878003375547,0.07905593373700272
71329859.71428572,71322138.21052632,2.181028347943249e-05,2.634915664227782e-06,-4.002202121613263e-06,True,stagewise__compact,compact,1.2322305274050963e-05,-6.357845242436482e-06,0.003097946664028056,stagewise,True,4668,z0.00_b1.50,0.0,1.0155106178728628e-05,-4.38516794325405e-06,0.003101049334239413,1.4671052631578947,-1.2849080360097457e-05,0.0030984144185751852,0.046660750012961216,1.5,-0.0005293976518816909,-0.0008856404977098306,0.07825728449081744
71478089.33834587,71467567.38345864,4.818174736892319e-05,1.584375512034616e-07,3.669149018628616e-06,True,stagewise__compact,compact,3.468788097205033e-05,-2.4654748271575835e-06,0.00307229769543678,stagewise,True,6361,z0.00_b2.00,0.0,3.0285126799902084e-06,-2.7118204439159994e-06,0.003072201392236898,2.0159774436090228,-2.1118396084728198e-07,0.0030720429546856947,0.06984079199901316,2.0,-0.0001811536091462938,-0.00040086475604704736,0.0760917793390987
71599966.18045112,71587679.26315789,5.662551202681756e-05,1.9545054817712285e-06,2.86036030824686e-06,True,stagewise__compact,compact,4.127292561229992e-05,-6.277783160483137e-07,0.003065681820489905,stagewise,True,7428,z0.00_b2.50,0.0,5.099033081851098e-06,-1.1335185559632496e-06,0.0030655536955095713,2.469298245614035,-4.506450501882714e-07,0.0030635991900278,0.04378049999650102,2.5,-0.00012957082315845982,-0.00029298239946876125,0.07539300260252958
71258514.75187969,71252162.87218045,6.4061759096654345e-06,-3.9927537800577284e-06,-6.20832874493342e-06,False,stagewise__compact,compact,6.632347438262109e-07,-8.229487152649953e-06,0.003110542496393174,stagewise,False,3840,z0.50_b1.25,0.5,3.1327912415633656e-06,-1.0817736060254129e-05,0.003109825772364895,1.2030075187969924,-1.3539819316466584e-05,0.0031138185261449522,0.03866733300674241,1.25,-0.00032804415904767335,-0.0005603108279986268,0.07914323882532442
71315641.518797,71308192.94736843,1.6890603617588783e-05,-4.905721675697948e-06,-5.937880233343326e-06,False,stagewise__compact,compact,8.55759031277248e-06,-8.671317998704247e-06,0.003100456865495838,stagewise,False,4503,z0.50_b1.50,0.5,3.447901489788473e-06,-1.3134833701733351e-05,0.003098428376761331,1.4144736842105263,-1.4346765058696761e-05,0.003103334098437029,0.04424891599046532,1.5,-0.0004885693722853993,-0.0008968392156599587,0.07845932704572704
71464135.05263157,71453871.14285715,4.591985554524807e-05,-2.412840116822761e-07,2.7575751071134093e-06,False,stagewise__compact,compact,3.2289472004147934e-05,-3.6914550760657287e-06,0.0030742342251627616,stagewise,False,6205,z0.50_b2.00,0.5,3.913550090898812e-06,-4.076810795992141e-06,0.0030740635624976875,1.9642857142857142,-1.8706527841634826e-06,0.00307430484650937,0.07003812500624917,2.0,-0.0002469499798619834,-0.0005000111615106993,0.07631164944176771
71590624.9774436,71578465.42857143,5.571924538843516e-05,-3.1625637247747647e-07,2.56412467227217e-06,False,stagewise__compact,compact,4.0685134151720935e-05,-9.38656262264749e-07,0.0030661893271375228,stagewise,False,7351,z0.50_b2.50,0.5,3.0493762493361117e-06,-3.29042751790505e-06,0.003064189200293705,2.4345238095238093,-7.873665943539303e-07,0.0030645054566661827,0.056260583995026536,2.5,-0.00010715308714746341,-0.00028049413150389073,0.07544398825071803
71253689.03759399,71247431.44360903,6.042577452195533e-06,-5.092088090498607e-06,-4.741357319070992e-06,False,stagewise__compact,compact,5.687349459690625e-07,-7.632315699068229e-06,0.003111394171891172,stagewise,False,3783,z1.00_b1.25,1.0,1.5537696563206046e-06,-1.2140183521171052e-05,0.003109090036511924,1.1851503759398496,-1.2042375346298507e-05,0.003114182124602422,0.03204170901153702,1.25,-0.00029936120086394656,-0.0005222145274793931,0.07916152324135749
71301936.25563909,71294745.72932331,1.4221352481436134e-05,-3.27565108923671e-06,-7.219791105559754e-06,False,stagewise__compact,compact,6.202135396929328e-06,-8.759317359444194e-06,0.0031028774169111983,stagewise,False,4347,z1.00_b1.50,1.0,3.944313960945826e-06,-9.788891924686676e-06,0.0031027276984839447,1.3637218045112782,-1.6088729794512832e-05,0.0031060033495731816,0.03905270900577307,1.5,-0.0005116321326731414,-0.0008983065774712732,0.07864030539046982
71448064.22556391,71438099.71428572,4.314110580587265e-05,1.6971603133669005e-06,7.807575457263738e-07,True,stagewise__compact,compact,2.9919685308632873e-05,-3.743904225162543e-06,0.003077073143489419,stagewise,True,6024,z1.00_b2.00,1.0,6.134576521884112e-06,-2.7385724473546667e-06,0.003078780756562112,1.9047619047619047,-5.260891227811598e-06,0.0030770835962487452,0.054322083000442944,2.0,-0.0003483120439062912,-0.0006141268411819586,0.07662658284695989
71582950.54135339,71570911.74436091,5.5695015957221894e-05,8.465124626485234e-07,2.467225401727646e-06,True,stagewise__compact,compact,4.096596642085117e-05,-5.872047881191804e-07,0.0030666053911459303,stagewise,False,7278,z1.00_b2.50,1.0,4.173639469916721e-06,-2.466615096591225e-06,0.0030653761985600446,2.406015037593985,-9.842369275847096e-07,0.0030645296860973958,0.06277791700267699,2.5,-9.89186049377818e-05,-0.0002561744312023989,0.07545092425667083
