candidate,depth,mean_predicted_gain,mean_realized_gain,n,ordered,positive_gain_rate,quantile,score_max,score_min,spearman
stagewise__full,3,1.9559195218472034e-05,3.378172086221045e-05,2554,True,0.7231793265465936,1,2.7781202925976313e-05,1.040502631977666e-05,0.1901632137695142
stagewise__full,3,3.637609083715414e-05,3.844279365230442e-05,2554,True,0.7419733750978856,2,4.5631233094359756e-05,2.7786479016031235e-05,0.1901632137695142
stagewise__full,3,5.871957511270542e-05,5.0970692366023815e-05,2553,True,0.7712495103799452,3,7.460903748858407e-05,4.5639450993612126e-05,0.1901632137695142
stagewise__full,3,0.00012211143627877038,8.841928993982853e-05,2553,True,0.8018018018018018,4,0.00047202354587653345,7.462404330916628e-05,0.1901632137695142
stagewise__compact,1,0.00010298670488792195,0.00013322984421552437,2554,True,0.7732967893500392,0,0.00011554249408240384,5.975915685272823e-05,0.14043191020911638
stagewise__compact,1,0.00012115199608089628,0.0001578039692911905,2554,True,0.7584181675802663,1,0.0001260764409118588,0.00011554382661498747,0.14043191020911638
stagewise__compact,1,0.000131174344487173,0.00016834951162585492,2554,True,0.750195771339076,2,0.00013706849846766424,0.0001260826120612099,0.14043191020911638
stagewise__compact,1,0.000145751531318377,0.00021615006099646577,2553,True,0.764198981590286,3,0.0001583527547889868,0.00013706957089227732,0.14043191020911638
stagewise__compact,1,0.00021547725806703475,0.0002982453924639875,2553,True,0.8041519780650216,4,0.0005907601393411108,0.0001583591386110656,0.14043191020911638
stagewise__compact,2,3.2321089372310657e-05,4.0317240222459316e-05,2554,True,0.711824588880188,0,3.696799427554314e-05,1.3719936321159205e-05,0.23546009213669777
stagewise__compact,2,4.026655217855472e-05,4.781506027901996e-05,2554,True,0.7263116679718089,1,4.3562435350978114e-05,3.697001475805881e-05,0.23546009213669777
stagewise__compact,2,4.7517742394901447e-05,5.713814624111892e-05,2554,True,0.7423649177760376,2,5.2020040502564254e-05,4.3568388580022665e-05,0.23546009213669777
stagewise__compact,2,5.9690649752555856e-05,8.085139645347456e-05,2553,True,0.7669408538973757,3,7.076959181686118e-05,5.202164009542162e-05,0.23546009213669777
stagewise__compact,2,0.00011406753693357481,0.00014758842715083723,2553,True,0.8343125734430082,4,0.00031177422583115663,7.077340198881343e-05,0.23546009213669777
stagewise__compact,3,2.3350832630879088e-05,2.7434882854119514e-05,2554,True,0.7129992169146437,0,2.572437040717279e-05,1.4580371275121472e-05,0.21577967694852204
stagewise__compact,3,2.7515449323992354e-05,3.3723892291793386e-05,2554,True,0.7208300704776821,1,2.9388637946362386e-05,2.572645749019482e-05,0.21577967694852204
stagewise__compact,3,3.1639375649424266e-05,3.976955434716596e-05,2554,True,0.7302270947533281,2,3.43700033156244e-05,2.9389553554376923e-05,0.21577967694852204
stagewise__compact,3,3.9150116794317256e-05,4.618704535415096e-05,2553,True,0.7579318448883666,3,4.678621637372866e-05,3.437199086219508e-05,0.21577967694852204
stagewise__compact,3,7.683698194079259e-05,9.774740680390469e-05,2553,True,0.8143360752056404,4,0.00017805115198713667,4.679511947789077e-05,0.21577967694852204
contractive__full,1,3.043783580846181e-05,0.00012524914926641088,2554,True,0.7909162098668755,0,7.421976880439465e-05,-0.00018275054143844852,0.2920995842236124
contractive__full,1,0.00010072400500639328,0.00014275735600693945,2554,True,0.83672670321065,1,0.0001262373382206988,7.423381114049325e-05,0.2920995842236124
contractive__full,1,0.00015423428170582314,0.00016569519901989843,2554,True,0.8449490994518403,2,0.00018608947935289544,0.00012628232496318236,0.2920995842236124
contractive__full,1,0.00023466444006390563,0.00023461613689692995,2553,True,0.863689776733255,3,0.00029771544615963055,0.00018615730524660593,0.2920995842236124
contractive__full,1,0.00046683650819922374,0.0003772897428572667,2553,True,0.8715236976106542,4,0.0017479040213393832,0.0002977168270613499,0.2920995842236124
contractive__full,2,-4.13041171147639e-05,1.0565786943176562e-05,2554,False,0.5015661707126077,0,-1.6562555017908716e-05,-0.0001899617181393004,0.19096225574502604
contractive__full,2,-4.3757502889557155e-06,1.0189991777550543e-05,2554,False,0.5109631949882537,1,6.855919136445395e-06,-1.655059081114886e-05,0.19096225574502604
contractive__full,2,1.861663083175492e-05,2.1887842299396242e-05,2554,False,0.5845732184808144,2,3.14630932798396e-05,6.859477907300874e-06,0.19096225574502604
contractive__full,2,4.971372697471377e-05,3.5964690339983186e-05,2553,False,0.6130043086564826,3,7.28314195756908e-05,3.146595751257915e-05,0.19096225574502604
contractive__full,2,0.00014893662179837422,9.597155690359887e-05,2553,False,0.6764590677634156,4,0.0007026887070644139,7.285450089808323e-05,0.19096225574502604
contractive__full,3,-3.4826820872329984e-05,-1.0309256881729976e-05,2554,True,0.3375097885669538,0,-1.880401948927248e-05,-0.00012992083464616333,0.1498537682028929
contractive__full,3,-1.2175974316268105e-05,-8.303141995834897e-06,2554,True,0.35747846515270165,1,-6.128075234098675e-06,-1.8798445497011018e-05,0.1498537682028929
contractive__full,3,-5.596214073453593e-08,-2.98547500780198e-06,2554,True,0.41895066562255284,2,6.301131507466164e-06,-6.127023947089189e-06,0.1498537682028929
contractive__full,3,1.4479828183974851e-05,-1.3516687533077286e-07,2553,True,0.4481002741872307,3,2.5357888276095197e-05,6.303772785808256e-06,0.1498537682028929
contractive__full,3,5.7986582164708825e-05,2.196676297900528e-05,2553,True,0.5421073247160204,4,0.00031336027008154604,2.537551690852402e-05,0.1498537682028929
contractive__compact,1,0.00011197543687195931,0.00014055477376493422,2554,True,0.8519968676585747,0,0.00012236684694474182,6.760976136480686e-05,0.1903584034826795
