dataset,endpoint,gate_overhead_multiplier,total_counted_flops,equivalent_ti_mean_depth,comparator_feasible,learned_loss,ti_envelope_loss,benefit_vs_ti_envelope
pusht_pilot,whitened,0.5,102896954446,1.6496211214666219,True,0.252459692826501,0.2522083453498371,-0.0002513474766638879
pusht_pilot,raw,1.0,102905055196,1.6582700207110215,True,0.10740739382814737,0.11131719081353657,0.003909796985389194
pusht_pilot,whitened,1.0,102905055196,1.6582700207110215,True,0.252459692826501,0.2521497926972788,-0.0003099001292222181
pusht_pilot,raw,2.0,102921256696,1.6755678191998207,True,0.10740739382814737,0.11124567624210635,0.0038382824139589766
pusht_pilot,whitened,2.0,102921256696,1.6755678191998207,True,0.252459692826501,0.2520326873921622,-0.0004270054343387675
pusht_pilot,raw,5.0,102969861196,1.7274612146662185,True,0.10740739382814737,0.1110311325278157,0.0036237386996683246
pusht_pilot,whitened,5.0,102969861196,1.7274612146662185,True,0.252459692826501,0.2516813714768126,-0.0007783213496884156
pusht_pilot,raw,10.0,103050868696,1.8139502071102147,True,0.10740739382814737,0.11067355967066463,0.003266165842517252
pusht_pilot,whitened,10.0,103050868696,1.8139502071102147,True,0.252459692826501,0.25109584495122966,-0.001363847875271329
pusht_pilot,raw,25.0,103293891196,2.0734171844422034,True,0.10740739382814737,0.10988126051906222,0.0024738666909148443
pusht_pilot,whitened,25.0,103293891196,2.0734171844422034,True,0.252459692826501,0.24978827454441563,-0.002671418282085364
pusht_pilot,raw,50.0,103698928696,2.505862146662184,True,0.10740739382814737,0.10974513439712336,0.0023377405689759823
pusht_pilot,whitened,50.0,103698928696,2.505862146662184,True,0.252459692826501,0.24950541445856947,-0.002954278367931523
pusht_binary,raw,0.0,307551720640,1.244212962962963,True,0.11865693567454487,0.12143664611521693,0.002779710440672059
pusht_binary,whitened,0.0,307551720640,1.244212962962963,True,0.29196645548960315,0.29361654390528386,0.001650088415680706
pusht_binary,raw,0.5,307568385040,1.2501436367305512,True,0.11865693567454487,0.12141368191514088,0.002756746240596006
pusht_binary,whitened,0.5,307568385040,1.2501436367305512,True,0.29196645548960315,0.29357611811078244,0.0016096626211792864
pusht_binary,raw,1.0,307585049440,1.2560743104981396,True,0.11865693567454487,0.1213907177150648,0.002733782040519925
pusht_binary,whitened,1.0,307585049440,1.2560743104981396,True,0.29196645548960315,0.29353569231628107,0.0015692368266779222
pusht_binary,raw,2.0,307618378240,1.2679356580333163,True,0.11865693567454487,0.12134478931491267,0.0026878536403678044
pusht_binary,whitened,2.0,307618378240,1.2679356580333163,True,0.29196645548960315,0.29345484072727823,0.0014883852376750828
pusht_binary,raw,5.0,307718364640,1.3035197006388461,True,0.11865693567454487,0.12120700411445627,0.0025500684399114015
pusht_binary,whitened,5.0,307718364640,1.3035197006388461,True,0.29196645548960315,0.2932122859602699,0.0012458304706667311
pusht_binary,raw,10.0,307885008640,1.3628264383147293,True,0.11865693567454487,0.1209773621136956,0.00232042643915073
pusht_binary,whitened,10.0,307885008640,1.3628264383147293,True,0.29196645548960315,0.29280802801525596,0.0008415725256528117
pusht_binary,raw,25.0,308384940640,1.5407466513423784,True,0.11865693567454487,0.12028843611141364,0.0016315004368687713
pusht_binary,whitened,25.0,308384940640,1.5407466513423784,True,0.29196645548960315,0.2915952541802141,-0.0003712013093890576
pusht_binary,raw,50.0,309218160640,1.837280339721794,True,0.11865693567454487,0.11914022610761034,0.0004832904330654697
pusht_binary,whitened,50.0,309218160640,1.837280339721794,True,0.29196645548960315,0.28957396445514433,-0.0023924910344588213
