dataset,stage,endpoint,decile,rows,predicted_gain_mean,observed_gain_mean,score_mean
pusht_pilot,1,raw,10,144,0.03970808726400905,0.02641818023580011,1.001797192518116
pusht_pilot,1,whitened,1,144,-0.00466066831519285,0.0025174399465897833,-1.0754389215883087
pusht_pilot,1,whitened,2,144,0.0015137652820864675,0.00329525940768325,-0.7245249923304354
pusht_pilot,1,whitened,3,144,0.003923475870361229,0.0057062611959515334,-0.5368811122614834
pusht_pilot,1,whitened,4,144,0.0058966139897802935,0.005390838203487552,-0.43252960146626074
pusht_pilot,1,whitened,5,144,0.007629788891125333,0.006378097044255461,-0.33783545139853355
pusht_pilot,1,whitened,6,144,0.009345746200879225,0.006424941454436928,-0.2619473240216703
pusht_pilot,1,whitened,7,144,0.0115169982692837,0.006092631900384511,-0.17444667512140422
pusht_pilot,1,whitened,8,144,0.014504487672811718,0.007134164062706465,0.00561706470656248
pusht_pilot,1,whitened,9,144,0.01965722704874383,0.0079476642059469,0.30404495627106765
pusht_pilot,1,whitened,10,144,0.034702360126911067,0.016812245495764957,0.9708619251370989
pusht_pilot,2,raw,1,36,0.0037734491780427194,-0.003169215387333202,-0.04107001991827677
pusht_pilot,2,raw,2,35,0.007728569882432316,-0.002378475379150622,0.1673826616484647
pusht_pilot,2,raw,3,35,0.009793811878440898,0.0028288178478161475,0.26815726288406544
pusht_pilot,2,raw,4,35,0.01156707421496957,0.0013514624849842556,0.3422270640194706
pusht_pilot,2,raw,5,35,0.01341115275895753,0.004395165968317559,0.3591552755472909
pusht_pilot,2,raw,6,35,0.016162739085830262,0.0008420381628995946,0.48628095884334244
pusht_pilot,2,raw,7,35,0.01928841542706602,0.009302267998135069,0.5981292949728751
pusht_pilot,2,raw,8,35,0.024044354589274723,0.019688297148600837,0.74648058647955
pusht_pilot,2,raw,9,35,0.03192022633063446,0.016483070227857905,1.0537104565876803
pusht_pilot,2,raw,10,35,0.05213034239406064,0.03690307033440425,2.004589438029453
pusht_pilot,2,whitened,1,36,0.004240685280655181,0.001007436958817863,-0.054379505382664846
pusht_pilot,2,whitened,2,35,0.007148830665716607,-0.0010814126928656825,0.13631602001656304
pusht_pilot,2,whitened,3,35,0.008641189013600226,0.0024054213097871205,0.19146513373189405
pusht_pilot,2,whitened,4,35,0.009881658985228943,0.0011742858132690393,0.2905162079440956
pusht_pilot,2,whitened,5,35,0.01147969506537802,0.004432734664432054,0.3906958044326694
pusht_pilot,2,whitened,6,35,0.01323342474919167,0.0019380460938391493,0.4695520146677694
pusht_pilot,2,whitened,7,35,0.015496858088035765,0.0054666595518657315,0.597713026567267
pusht_pilot,2,whitened,8,35,0.01916308641156837,0.005579315516383275,0.78832395442811
pusht_pilot,2,whitened,9,35,0.025491906981171,0.010817279711011402,1.080145573651098
pusht_pilot,2,whitened,10,35,0.04271898101775826,0.01607647984983117,2.095075020050382
pusht_pilot,3,raw,1,31,4.3617229922222286e-05,-0.01239480335124835,-0.0029536723582816895
pusht_pilot,3,raw,2,31,0.003956092802488444,-0.0009057585831945339,0.2084321822361988
pusht_pilot,3,raw,3,31,0.0062001383659503135,-0.0021404377932419793,0.32561313282167587
pusht_pilot,3,raw,4,31,0.007909023521725053,-0.00402940209331324,0.37638629378070104
pusht_pilot,3,raw,5,31,0.009433200683049467,0.0036448696228684294,0.40331559791869476
pusht_pilot,3,raw,6,31,0.012136340107588081,0.0038512300279511832,0.5712078772257894
pusht_pilot,3,raw,7,31,0.014873998029812825,0.008190580785434175,0.6829558672055711
pusht_pilot,3,raw,8,31,0.01822021164791803,0.010404069482128667,0.829142522530389
pusht_pilot,3,raw,9,31,0.025761403911976625,0.014473293692247724,1.247315082616064
pusht_pilot,3,raw,10,30,0.044118572379101356,0.02288032884271975,2.3351048032866593
pusht_pilot,3,whitened,1,31,-0.0016725438661175664,-0.0062579571788246415,-0.040472294641140535
pusht_pilot,3,whitened,2,31,0.0005372992170436687,-0.005197558249127164,0.13397387905383637
pusht_pilot,3,whitened,3,31,0.0022555466062220515,-0.0045243354370408115,0.2720723486063397
pusht_pilot,3,whitened,4,31,0.003919694595986179,-0.003401848077228953,0.3584121052055668
pusht_pilot,3,whitened,5,31,0.005203876368532982,-0.002758727686264963,0.46079697289998256
pusht_pilot,3,whitened,6,31,0.00654701131085681,0.000571154119229722,0.5297850566594359
pusht_pilot,3,whitened,7,31,0.008992930232045494,-0.0038683807946138103,0.6652066746866344
pusht_pilot,3,whitened,8,31,0.012793362570003361,0.000767848629488464,0.8859192718477178
pusht_pilot,3,whitened,9,31,0.01948904424501467,0.003274286459135329,1.2877162021189301
pusht_pilot,3,whitened,10,30,0.03695112062512087,0.011081951317686219,2.4260429597441417
pusht_binary,1,raw,1,432,-0.013837940989993794,-0.002967776333621278,-1.211896748863628
pusht_binary,1,raw,2,432,-0.005327373070247317,-0.002420489850965326,-0.7536692091703484
