episode_ordinal,phase_decile,magnitude_bin,left_row_id,right_row_id,left_value,right_value,delta,left_magnitude,right_magnitude,abs_magnitude_gap,left_position,right_position,scale,metric,magnitude_col
17,8,0,675,678,3.4629183143836126,6.472566847104325,-3.0096485327207123,0.8869196209258763,1.9108978919043844,1.0239782709785081,0.8,0.875,whitened,excess_whitened_recomputed,persistence_mag_whitened
19,1,1,726,723,-5.077921931486932,-7.65640929547851,2.578487363991578,3.8606223792292047,3.9525991847189332,0.09197680548972853,0.175,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
19,1,0,725,724,6.925319233514518,4.387115953911478,2.5382032796030396,1.675991759985392,2.114685807008078,0.4386940470226859,0.15,0.125,whitened,excess_whitened_recomputed,persistence_mag_whitened
19,5,0,742,739,4.961290947976265,1.8733032613393172,3.0879876866369473,1.7834470945151302,2.10207908199234,0.31863198747720967,0.575,0.5,whitened,excess_whitened_recomputed,persistence_mag_whitened
20,1,0,763,762,5.183392340558488,2.2860298365713714,2.8973625039871163,1.2219490305296432,2.1624436701759,0.9404946396462566,0.15,0.125,whitened,excess_whitened_recomputed,persistence_mag_whitened
20,3,0,771,772,6.7505416500587465,6.851482928610518,-0.1009412785517716,1.585777711539967,1.317904208650026,0.26787350288994083,0.35,0.375,whitened,excess_whitened_recomputed,persistence_mag_whitened
20,5,0,780,777,7.835865313022611,6.984203153411342,0.8516621596112683,1.4435599841502886,2.3461326153246893,0.9025726311744007,0.575,0.5,whitened,excess_whitened_recomputed,persistence_mag_whitened
20,8,0,789,790,6.742977411024995,5.1170180218761425,1.6259593891488526,1.4365612305862991,2.192313274352075,0.7557520437657756,0.8,0.825,whitened,excess_whitened_recomputed,persistence_mag_whitened
22,1,2,839,837,-20.698533079794345,-35.43959270648638,14.741059626692035,5.887114970489273,6.67671440229779,0.7895994318085169,0.15,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
22,8,3,865,868,-18.186662656561438,4.856223310257917,-23.042885966819355,10.954303789228229,9.13388340325034,1.8204203859778882,0.8,0.875,whitened,excess_whitened_recomputed,persistence_mag_whitened
23,1,0,877,875,5.293533233133196,1.8713741339270253,3.422159099206171,0.9579848426059001,2.235808775192861,1.277823932586961,0.15,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
23,5,2,894,892,-11.122990968179971,-25.29268373169031,14.169692763510339,4.685009277856818,5.917053301966506,1.2320440241096877,0.575,0.525,whitened,excess_whitened_recomputed,persistence_mag_whitened
24,1,0,916,913,7.6476927915361665,5.102667099206339,2.545025692329827,2.406017239154802,2.1212651968063985,0.28475204234840357,0.175,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
24,5,3,932,930,-68.02296832985805,-110.96349285967425,42.9405245298162,8.965205726897018,11.023210536935556,2.058004810038538,0.575,0.525,whitened,excess_whitened_recomputed,persistence_mag_whitened
25,1,3,954,951,-32.0598418183377,-48.617854526587095,16.558012708249393,10.98277880896419,7.92570207378828,3.05707673517591,0.175,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
25,5,2,970,967,-20.760460485039722,-22.051189304535043,1.290728819495321,6.419974495289161,5.616303883163518,0.803670612125643,0.575,0.5,whitened,excess_whitened_recomputed,persistence_mag_whitened
