episode_ordinal,phase_decile,left_row_id,right_row_id,left_value,right_value,delta,left_position,right_position,scale,metric
16,8,637,638,4.400847367634832,-4.717250353886747,9.118097721521579,0.8,0.825,whitened,excess_whitened_recomputed
16,9,645,644,0.6667900413374683,-6.317680823658153,6.984470864995622,1.0,0.975,whitened,excess_whitened_recomputed
17,1,649,648,-33.67134190133164,-38.730419154545956,5.059077253214319,0.15,0.125,whitened,excess_whitened_recomputed
17,1,650,647,-145.89166678221181,-62.27553210992513,-83.61613467228668,0.175,0.1,whitened,excess_whitened_recomputed
17,5,666,665,1.5354334963683396,2.8010365337317777,-1.2656030373634382,0.575,0.55,whitened,excess_whitened_recomputed
17,8,675,676,3.4629183143836126,3.4202323757176534,0.04268593866595927,0.8,0.825,whitened,excess_whitened_recomputed
18,1,687,686,-5.9962980633380525,-0.23746889941240212,-5.75882916392565,0.15,0.125,whitened,excess_whitened_recomputed
18,1,688,685,-54.3863567963696,-11.75111443372646,-42.63524236264314,0.175,0.1,whitened,excess_whitened_recomputed
18,5,704,703,19.555145151299254,-6.485707462793915,26.04085261409317,0.575,0.55,whitened,excess_whitened_recomputed
18,8,713,714,5.154234222576107,-36.73773685667524,41.89197107925135,0.8,0.825,whitened,excess_whitened_recomputed
19,1,725,724,6.925319233514518,4.387115953911478,2.5382032796030396,0.15,0.125,whitened,excess_whitened_recomputed
19,1,726,723,-5.077921931486932,-7.65640929547851,2.578487363991578,0.175,0.1,whitened,excess_whitened_recomputed
19,5,742,741,4.961290947976265,-1.8913883358150745,6.852679283791339,0.575,0.55,whitened,excess_whitened_recomputed
20,1,763,762,5.183392340558488,2.2860298365713714,2.8973625039871163,0.15,0.125,whitened,excess_whitened_recomputed
20,1,764,761,0.6598889141170563,0.6790561346348785,-0.01916722051782216,0.175,0.1,whitened,excess_whitened_recomputed
20,3,769,772,6.176552850242094,6.851482928610518,-0.6749300783684244,0.3,0.375,whitened,excess_whitened_recomputed
20,5,780,779,7.835865313022611,1.6244078724919486,6.211457440530662,0.575,0.55,whitened,excess_whitened_recomputed
20,8,789,790,6.742977411024995,5.1170180218761425,1.6259593891488526,0.8,0.825,whitened,excess_whitened_recomputed
21,1,801,800,5.828150150350764,-42.82576420589847,48.65391435624924,0.15,0.125,whitened,excess_whitened_recomputed
21,1,802,799,-103.85390099033668,-23.54677784619935,-80.30712314413734,0.175,0.1,whitened,excess_whitened_recomputed
21,3,807,810,-123.45717038071436,-12.099955098794087,-111.35721528192028,0.3,0.375,whitened,excess_whitened_recomputed
21,5,818,817,-19.842494311218587,10.317225440417719,-30.159719751636306,0.575,0.55,whitened,excess_whitened_recomputed
22,1,839,838,-20.698533079794345,-15.010989910751075,-5.68754316904327,0.15,0.125,whitened,excess_whitened_recomputed
22,1,840,837,-65.42769080821328,-35.43959270648638,-29.988098101726905,0.175,0.1,whitened,excess_whitened_recomputed
22,8,865,866,-18.186662656561438,27.091620596356286,-45.278283252917724,0.8,0.825,whitened,excess_whitened_recomputed
23,1,877,876,5.293533233133196,0.15766503692500144,5.135868196208195,0.15,0.125,whitened,excess_whitened_recomputed
23,1,878,875,0.152681508591618,1.8713741339270253,-1.7186926253354073,0.175,0.1,whitened,excess_whitened_recomputed
23,5,894,893,-11.122990968179971,-50.39040639150691,39.26741542332694,0.575,0.55,whitened,excess_whitened_recomputed
24,1,915,914,1.9603671929892457,5.660252342840895,-3.6998851498516494,0.15,0.125,whitened,excess_whitened_recomputed
