adaptive_total_flops,call_nondominated,family,flop_nondominated,gate_flops_per_decision,matched_raw_mse,mean_calls,operating_point,passed,positive_outer_fold_fraction,raw_benefit,raw_ci_high,raw_ci_low,raw_mse,whitened_benefit,whitened_ci_low
71501149.55864662,True,full_linear,True,8196,0.0029319267327902942,2.080795739348371,b2.00,False,1.0,6.906794206180054e-06,1.0567742757897695e-05,3.2385795037312843e-06,0.002925019938584114,-0.0004913576084964224,-0.000641588755038714
71628051.83233082,False,full_linear,False,8196,0.0029030262124395355,2.549185463659148,b2.50,False,1.0,1.1489381062515772e-05,1.4290865816853092e-05,8.853669257147697e-06,0.0028915368313770194,-0.00017571126278418056,-0.000282720543582442
71271988.3358396,False,in_model_halting,False,7264,0.00306310654100013,1.2437343358395991,b1.25,False,1.0,2.2426794147894152e-05,2.858530718523004e-05,1.7044345026703664e-05,0.003040679746852236,0.0006511067437149239,0.00039803922942953054
71345867.35839598,False,in_model_halting,False,7264,0.0030177240826184484,1.5151315789473685,b1.50,False,1.0,2.117477091459498e-05,2.6977260791057487e-05,1.587256330628377e-05,0.0029965493117038535,0.0006189136863926855,0.0003746003394144023
71474576.87117796,False,in_model_halting,False,7264,0.0029429367491728155,1.988690476190476,b2.00,False,0.8333333333333334,3.352359643049613e-06,6.8810936227920936e-06,-1.2025853212528754e-07,0.002939584389529766,-0.00027184264740183375,-0.0004395223148584712
71612812.34686717,False,in_model_halting,False,7264,0.0029058304644750846,2.50015664160401,b2.50,False,0.8333333333333334,3.956680467539294e-06,7.082408967066737e-06,7.756662333186062e-07,0.002901873784007545,-0.00027362923101429884,-0.0004153385511467141
71315802.47098997,True,low_rank,False,39874,0.0030595682508906714,1.2550751879699247,b1.25,False,1.0,3.008336639585397e-05,3.6739064274418824e-05,2.390172667132685e-05,0.0030294848844948175,0.0005117815674317202,0.0002583356216358602
71390580.43596491,True,low_rank,False,39874,0.0030199922831669387,1.5024436090225564,b1.50,False,1.0,3.4712003033197095e-05,4.0762034447987764e-05,2.850300716788222e-05,0.0029852802801337416,0.000369761125178428,0.00012318527009107875
71539364.34260651,True,low_rank,False,39874,0.0029387988450731714,2.000093984962406,b2.00,False,1.0,1.0617747387900146e-05,1.4640549348942364e-05,6.66669421356492e-06,0.0029281810976852715,-0.0006459322069008574,-0.0008262863457726111
71687545.13840853,False,low_rank,False,39874,0.0029056165992787236,2.506109022556391,b2.50,False,1.0,1.2050468794221612e-05,1.5560165002581128e-05,8.510856020408864e-06,0.002893566130484502,-0.00041220424260241483,-0.0005692601698266031
71262406.92938598,False,stable_sparse,True,718,0.003063867212377706,1.238314536340852,b1.25,False,1.0,1.7195171052922627e-05,2.2685495601936484e-05,1.1908171037410235e-05,0.0030466720413247837,0.0003167556493201842,0.00010214416782480039
71333920.25570175,False,stable_sparse,True,718,0.0030193541656706856,1.507487468671679,b1.50,False,1.0,1.703129386998197e-05,2.2396604011768502e-05,1.1999507711781672e-05,0.0030023228718007037,0.0002939302244804462,5.819378084059905e-05
71470037.12988721,False,stable_sparse,False,718,0.0029386785442495652,2.0198308270676693,b2.00,False,1.0,1.731706104231975e-06,3.550450221775194e-06,-2.1890876225716908e-07,0.0029369468381453333,-0.0001045292173599704,-0.00019560608332706635
71609919.08590226,False,stable_sparse,False,718,0.0029029888860211137,2.546647869674185,b2.50,False,1.0,5.199097215705948e-06,7.0329545088500255e-06,3.388038008177633e-06,0.0028977897888054077,-0.00013369273603963734,-0.00021788426147904653
