cal_deep,cal_gate_price,cal_gate_ranking,cal_gate_regression,cal_monotonic,cal_total,cal_update,calibration_objective,epoch,seed,train_objective
0.014310902049928381,1.7245746442449024,0.6973396145112333,57.512833761471754,0.0007485525518497833,14.600592821801616,0.00552721952594686,14.600592821801616,1,260914,56.57180038391797
0.01197545695941002,0.7390391170629981,0.6538034545050727,69.1049550106651,0.0031301060413712993,17.397938869989407,0.0042950103680292765,17.397938869989407,2,260914,5.6169736830587675
0.14718611994159153,0.6243216667956079,0.5071531218394899,2087.0216581288832,0.10980285188259437,522.1001950626485,0.030265653924199575,522.1001950626485,3,260914,89.82779977007917
1.3915197918986717,0.0,0.7619462893720259,17256.222249634502,0.9200140338892128,4316.405261444627,0.18464845526985257,4316.405261444627,4,260914,1500.4322645392633
3.005896906545985,0.0,1.7582239806303503,37190.7183753655,2.0090848059682123,9302.782454998172,0.40188903616882904,9302.782454998172,5,260914,4470.4704225853275
4.282530708759151,0.0,2.3262373874061986,52262.34899488304,2.8702219528064394,13072.856502421419,0.5735885956134016,13072.856502421419,6,260914,6704.203465973225
5.192819715801038,0.0,3.4954545258081446,62266.83120431287,3.4908511607967623,15575.566389117324,0.6969753839816266,15575.566389117324,7,260914,8079.304799886395
5.933052854370652,0.0,5.254298843696104,68627.23956505848,3.955696573870921,17166.961428636696,0.790205498884993,17166.961428636696,8,260914,9180.332200554678
9.759463691711426,0.0,19.99716418082254,115206.76840277777,6.688205669916164,28819.139791209796,1.3308432519087317,28819.139791209796,9,260914,13632.875688745982
17.97563462062189,0.0,6.985157495911358,297323.86904239765,16.503398096631145,74365.79623538011,3.8729156438370196,74365.79623538011,10,260914,19907.987868818127
961.8417633235106,0.0,3.3253815701133327,22527281.92748538,1177.3328224940606,5633959.832748538,491.2490150853207,5633959.832748538,11,260914,503264.53383192193
7485.9509080317985,0.0,2.9454640030163772,182880810.18011695,9529.693078399123,45737218.57309941,4643.464747807017,45737218.57309941,12,260914,8964275.582159517
8437.04749520285,0.0,88.19673829552723,201314345.225731,10496.313005985015,50347523.81754386,4698.115614149306,50347523.81754386,13,260914,12111486.395891894
7061.919325086806,2.1549636683268854e-05,161.35786722640546,168385022.33450294,8783.568302266081,42112109.71695907,3984.8327702394004,42112109.71695907,14,260914,8707091.14615087
11801.199025721857,0.0,519.0115345023529,279759247.30760235,14590.845096628289,69966231.98128656,6743.11023277595,69966231.98128656,15,260914,23487625.488974754
14296.458927266081,0.0,312.5879688106782,330112134.9239766,17225.24721080044,82559573.52982455,8859.827411138524,82559573.52982455,16,260914,24347394.621131323
0.015028887117902437,1.9322252683472214,0.7034510574145624,62.920974579749746,0.0025284721834683103,15.976196570145456,0.005157948703619472,15.976196570145456,1,260915,54.029085558585656
0.057227102675807405,2.726884897689373,0.650595051782173,334.32976816634687,0.012648134250520615,83.95753704762598,0.016685669431299493,83.95753704762598,2,260915,18.743038450820105
0.3527328830016287,5.575599234843114,2.1204442640494183,3853.286470326206,0.2013433278826942,964.5392816554734,0.05594982104866128,964.5392816554734,3,260915,415.9708680287078
1.69455230891356,0.0,0.5942836655510797,19899.411574835525,1.065812175455149,4977.642961325841,0.21910218430889977,4977.642961325841,4,260915,1481.3897208295668
113.83503004821421,0.0,0.30308620504468503,2463549.305847953,128.52568100600215,616129.6921052631,42.71798789041084,616129.6921052631,5,260915,25075.378593944846
353.28399401212994,0.0,1.0550739178183484,8204048.9467836255,427.6945759377284,2051793.257748538,171.96255778708652,2051793.257748538,6,260915,858606.5118761909
1187.9293601231268,0.0,1.050768086366486,28398538.533333335,1479.6226279810855,7102302.269590643,657.3118627358598,7102302.269590643,7,260915,2158642.0037526307
2575.2168434187683,0.0,1.1029712220381576,62570295.578947365,3259.2754440218387,15648408.395321637,1546.3599326685855,15648408.395321637,8,260915,2919366.9904222125
