radius_bin,left_row_id,right_row_id,left_episode_key,right_episode_key,left_radius,right_radius,abs_radius_gap,left_local_expansion,right_local_expansion,left_model_sensitivity,right_model_sensitivity
8,swm/FetchPushDense-v3::405::33,swm/FetchPushDense-v3::339::10,swm/FetchPushDense-v3::405,swm/FetchPushDense-v3::339,0.5956640107188568,0.5956658800807957,1.8693619389109628e-06,3.413176363613962,5.751477804034722,3.1150438655804176,3.0075030804423437
8,swm/FetchPushDense-v3::196::12,swm/FetchPushDense-v3::322::40,swm/FetchPushDense-v3::196,swm/FetchPushDense-v3::322,0.5970472575507544,0.5969690363364101,7.822121434430951e-05,7.139205721981636,5.593273826478935,5.1987416906916675,5.571982730900541
8,swm/FetchSlideDense-v3::20::19,swm/FetchPushDense-v3::92::43,swm/FetchSlideDense-v3::20,swm/FetchPushDense-v3::92,0.5979502464326529,0.5980559832503305,0.00010573681767755971,5.128465337601213,3.4440717182596585,2.949734738223764,2.8254070344117874
8,swm/FetchPushDense-v3::339::15,swm/FetchPushDense-v3::471::26,swm/FetchPushDense-v3::339,swm/FetchPushDense-v3::471,0.59834659673642,0.5983218025810437,2.479415537626206e-05,6.962522819404331,3.672082246753662,4.698144707913311,1.8517579913308566
8,swm/FetchPushDense-v3::486::26,swm/FetchPushDense-v3::499::9,swm/FetchPushDense-v3::486,swm/FetchPushDense-v3::499,0.5994901126090324,0.5997130479577223,0.00022293534868988996,3.724742586039634,3.8969415702390204,2.427485906408436,1.0355159780383447
8,swm/FetchPushDense-v3::61::11,swm/FetchPushDense-v3::268::21,swm/FetchPushDense-v3::61,swm/FetchPushDense-v3::268,0.599725966822954,0.5997269037946877,9.369717337559536e-07,6.075277222201389,5.249621315547723,3.4926121781651203,4.576681035979312
8,swm/FetchPushDense-v3::257::25,swm/FetchPushDense-v3::23::19,swm/FetchPushDense-v3::257,swm/FetchPushDense-v3::23,0.6005344181660236,0.600559222685126,2.480451910236159e-05,4.5916216425857055,12.325883084232109,2.872636695357591,6.74062412752661
8,swm/FetchPushDense-v3::272::21,swm/FetchPushDense-v3::303::11,swm/FetchPushDense-v3::272,swm/FetchPushDense-v3::303,0.6013739183401532,0.6013695531618829,4.36517827029359e-06,8.788603137672494,5.497935383225072,3.329909024699984,1.6359656852844278
8,swm/FetchPushDense-v3::358::5,swm/FetchPushDense-v3::92::25,swm/FetchPushDense-v3::358,swm/FetchPushDense-v3::92,0.6024645430638564,0.6025841286344764,0.00011958557061997332,4.60649269502357,7.148151550743154,3.653108279241226,5.398072588363647
8,swm/FetchPushDense-v3::253::4,swm/FetchPushDense-v3::347::21,swm/FetchPushDense-v3::253,swm/FetchPushDense-v3::347,0.6029353014994129,0.6021636686643905,0.0007716328350223511,4.324708037641801,4.5263737578115375,3.0165251964275845,2.8320928599117385
