row_id,episode_key,regime,fold,valid_neighbors,n_neighbors,neighbor_radius,actual_residual_norm,predicted_residual_norm,residual_prediction_mse,residual_baseline_mse,residual_predictability,conditional_mean_floor,successor_baseline_mse,conditional_mean_gain
1026,27,transport_free,2,True,10,3.3453295303560573,38.75763217341524,32.78350914495372,6.931738961646505,3.4296974786320678,-1.021093406877164,10.906330331584096,60.72568967401195,0.8204000581939616
1027,27,transport_free,2,True,10,3.5847661872728582,38.510621114401445,33.28434693624656,6.41445527876095,2.892613353305698,-1.2175294432041763,11.762124235603679,62.705318157026056,0.8124222222085042
1028,27,transport_free,2,True,10,3.648796251987542,40.80855908461777,33.316665950087355,8.254556680925916,3.9413717000555106,-1.094336010178806,10.32439932433904,63.2849983316093,0.8368586616651255
1029,27,interaction,2,True,10,3.3164059368042578,40.33988676463324,33.347006682897444,8.437565488044322,3.7269760315644667,-1.2639172928897264,12.980039611528007,68.79137222128281,0.8113129714904537
1030,27,interaction,2,True,10,3.8264522139157364,44.681431742514285,33.347006682897444,9.20057423202184,7.952081304215032,-0.15700203255530587,18.50494304157365,76.10264557338185,0.7568423160305211
1031,27,interaction,2,True,10,4.632747166902998,32.99677456164618,26.728733687545173,4.582391518354261,7.031915213853146,0.34834374718756966,10.648755116938062,69.93053093656043,0.8477238056922748
1032,27,interaction,2,True,10,3.937969359592447,37.85518447329392,25.82345420292697,3.8896428384775814,5.402536649908554,0.2800339746805014,3.6383550461983027,65.00310166239382,0.9440279778479679
1033,27,interaction,2,True,10,2.863549072463691,66.84069724444598,37.840713373724725,27.200464109499624,22.563718458323706,-0.205495634938905,31.074052136244287,80.06967653782137,0.6119123558396506
1034,27,interaction,2,True,10,5.519288608638797,587.705121309778,27.140389556245744,1821.5795714734877,1828.1985109890368,0.0036204709038780702,2031.1699564831604,1848.9027887446518,-0.09858126065257466
1035,27,interaction,2,True,10,25.345924406871116,175.1004781335846,79.59054304287129,156.20192774751618,167.52205783151496,0.0675739674555812,421.9251881452681,2779.4212261127145,0.8481967453578921
1036,27,interaction,2,True,10,15.598123082829446,110.10107778291395,49.0537324276448,66.49869332849654,67.88156047401289,0.020371764229635603,63.92228774825896,3776.607492600127,0.9830741511069107
1037,27,interaction,2,True,10,8.609187158005408,67.91433472035989,55.600872219235406,14.537435768240876,15.614521931734254,0.06897977204824679,76.12781090612987,3889.296239589247,0.9804263274853628
1038,27,static,2,True,10,9.914190977582289,112.40195403015454,68.74935648828058,28.490855274828693,56.49458425840308,0.49568873461369134,132.46692197003662,4006.5307112349933,0.9669372503251811
1039,27,transport_free,2,True,10,12.401093979489,229.73793451369664,73.75083564337933,139.74888074772386,252.45940541127143,0.44645009156991167,348.901138777825,4079.888823632083,0.9144826847347229
1040,27,transport_free,2,True,10,14.304783803580017,112.54049254560542,53.25225847790365,30.736341749926982,55.41332440577521,0.44532579339846246,181.24416640790994,3582.9108410575486,0.9494142683287053
1041,27,transport_free,2,True,10,12.903917367432715,53.48225885634722,37.044463741841724,13.814901468499057,9.818710098591053,-0.40699759232950994,220.58212447616043,3279.524456694184,0.9327396006985382
1042,27,transport_free,2,True,10,13.662157620405537,56.32670631136024,44.02400356317045,9.643910616053153,14.258622031947011,0.32364357548397127,114.26659182226949,3784.051296914821,0.9698031070785345
1043,27,transport_free,2,True,10,13.223122156760198,41.05274853234205,37.044463741841724,4.970175760352614,5.6901213732338425,0.12652552830732766,90.35452202720548,4014.8545652338194,0.9774949451943739
1044,27,transport_free,2,True,10,13.405990731276082,45.028211756648034,43.1047801133322,9.167294962353575,8.799468135343771,-0.0418010294886344,147.66041055942108,4197.490602308965,0.9648217412379206
1045,27,transport_free,2,True,10,12.673128279708227,67.90634992334779,75.33607198360755,55.09264801486589,23.92801925839976,-1.3024324504221552,178.60615563227054,4038.4659533553,0.9557737621920823
1046,27,interaction,2,True,10,12.182006124004147,69.70521749930596,73.75083564337933,21.66615383052016,16.536289121233473,-0.3102186150518902,147.26381760547596,3787.2051669057378,0.961115437079477
1047,27,interaction,2,True,10,11.956649759875262,103.45740682425328,68.74935648828058,59.76224893248695,50.09697897258959,-0.19293119381880652,179.9224485500324,3333.270316727933,0.9460222449865239
1048,27,interaction,2,True,10,12.035265765386804,193.68817816158565,67.20394507744606,122.50219013058104,174.07478354680347,0.2962668823445994,639.4744526756508,1633.245520548191,0.6084639788505195
1049,27,interaction,2,True,10,20.28080233398881,230.1298015592708,51.7554185867207,230.99599369671782,258.74811960423654,0.10725537232875926,2525.491266146686,357.2153151871667,-6.069941177699586
1050,27,interaction,2,True,10,16.447237316604845,111.50617949212266,93.70388191412192,112.3449886235157,52.27134427390023,-1.1492653419210233,403.67350143788275,234.68840858551104,-0.7200402178823431
1051,27,interaction,2,True,10,11.982863023947246,288.67661327656276,56.97191030482215,373.22479177832923,431.5085426475739,0.1350697497473341,536.1411808032307,730.033171343956,0.2655933978777697
