n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high,dataset,r_item,scale,regime,metric,n_anchors,n_usable,n_below_5_neighbors,n_episodes
31,9.517791354620858,6.649602276860992,8.561723397017486,7.242301990036829,11.913606238508068,5.456029746628229,11.302773463436537,6.4909680085229855,11.299712479413465,cube,R2,floor_1e-3,static,residual_norm,31,31,0,19
358,24.345700237842625,24.172982524032065,24.57795997101637,21.33630084756143,27.11035861826226,19.66061294757923,29.39403961908415,21.0450318211084,27.581590834912912,cube,R2,floor_1e-2,transport_free,neighbor_radius,358,358,0,20
0,,,,,,,,,,cube,R2,floor_1e-2,transport_free,action_neighbor_distance,358,358,0,20
358,1.0892497447232492,1.0533883661385097,1.0696425641384242,1.0606994344001406,1.1285833641033896,1.0405178766666257,1.0775554439056478,1.053301992394814,1.0975555409631306,cube,R2,floor_1e-2,transport_free,local_expansion,358,358,0,20
358,0.32674302095635904,0.27689121740203165,0.2891250288606945,0.275066825812525,0.39143091776979966,0.2405913721588334,0.31593463619620193,0.25761578489863773,0.3489175416532262,cube,R2,floor_1e-2,transport_free,model_sensitivity,358,358,0,20
358,4.591978747970559,3.423216812107864,4.052410893198412,4.248277339939277,4.9499349802972485,3.133932109266649,3.7250778036991243,3.7286492562415146,4.404762354292812,cube,R2,floor_1e-2,transport_free,residual_norm,358,358,0,20
371,23.23984485793478,22.68574864174758,23.173781630755922,21.307574489959716,25.171054735716712,20.272365291442792,25.871810293236106,21.03320031694063,25.391477022632607,cube,R2,floor_1e-2,interaction,neighbor_radius,371,371,0,20
0,,,,,,,,,,cube,R2,floor_1e-2,interaction,action_neighbor_distance,371,371,0,20
371,1.1662943073953584,1.0992787917230356,1.1254871928612213,1.1285068812759702,1.209189743150911,1.0695125862572121,1.1248245617359178,1.0981069545792912,1.162193335646826,cube,R2,floor_1e-2,interaction,local_expansion,371,371,0,20
371,0.5913105101615803,0.47460496495606774,0.5267777890630052,0.5208143310565395,0.6567710731457237,0.4031520144576111,0.5393252734915169,0.45904739197284483,0.5935532296727193,cube,R2,floor_1e-2,interaction,model_sensitivity,371,371,0,20
371,9.049709977622875,6.8006886651758505,7.947909054225688,8.288160757614145,9.780367649037474,6.242756424319014,7.527684865815332,7.197251180344591,8.73376835757346,cube,R2,floor_1e-2,interaction,residual_norm,371,371,0,20
31,25.321032110687817,26.253939639034606,25.79546203594443,21.25994200787294,28.93657442898728,19.462376896391852,33.208431726089586,21.003433770078377,29.56294895382693,cube,R2,floor_1e-2,static,neighbor_radius,31,31,0,19
0,,,,,,,,,,cube,R2,floor_1e-2,static,action_neighbor_distance,31,31,0,19
31,1.0634717653860482,1.0543164912547214,1.054521102732898,1.0382588612543173,1.0978859139393786,1.0309225026487066,1.0661785056464406,1.0382924644928462,1.0870034872351537,cube,R2,floor_1e-2,static,local_expansion,31,31,0,19
31,0.34751382682286547,0.2784090227132756,0.31099810197117883,0.2630447573478468,0.45171567575752913,0.20354196374212763,0.3748900219826758,0.24251895276114843,0.4411056232858408,cube,R2,floor_1e-2,static,model_sensitivity,31,31,0,19
31,4.16342981684809,3.5805400170294956,3.912379954767998,3.3621727227018927,5.082710829855034,2.4345508041692407,4.764717056547562,3.088096752785261,4.938701814014289,cube,R2,floor_1e-2,static,residual_norm,31,31,0,19
358,3.1533290795114404,3.084978421254197,3.163301963409815,2.6391402482558335,3.5889408992086698,2.449999258086137,3.7870952480313274,2.573834403224742,3.6185676869333183,cube,R2,pca90,transport_free,neighbor_radius,358,358,0,20
0,,,,,,,,,,cube,R2,pca90,transport_free,action_neighbor_distance,358,358,0,20
358,1.1794484084195311,1.0937779858082055,1.12927507140434,1.1301134785324085,1.248235387715863,1.0806027515111354,1.1217458541122105,1.1025533142364734,1.1706035404120636,cube,R2,pca90,transport_free,local_expansion,358,358,0,20
358,0.3908671837858429,0.3151622565601617,0.3480274486603752,0.34408376971945076,0.4461079899626844,0.28389529023639287,0.35586739057862427,0.31401089588652586,0.389077378608346,cube,R2,pca90,transport_free,model_sensitivity,358,358,0,20
358,0.9286216623296774,0.7201612876746203,0.8381332161711222,0.8224342896301903,1.0396256646097055,0.6652281310563167,0.8013083212599534,0.740805346366402,0.9491601087836222,cube,R2,pca90,transport_free,residual_norm,358,358,0,20
371,3.426277112993391,3.2726666774217676,3.392967486507713,2.994503722498525,3.8331838865132117,2.5054967476233516,4.103319905631645,2.8949504603610237,3.8330770621021264,cube,R2,pca90,interaction,neighbor_radius,371,371,0,20
0,,,,,,,,,,cube,R2,pca90,interaction,action_neighbor_distance,371,371,0,20
371,1.2506843998211126,1.1687059901366155,1.1937856022228188,1.2149347216588324,1.287179352637953,1.1369974106737804,1.182547440595185,1.1705990683624083,1.2201524026850195,cube,R2,pca90,interaction,local_expansion,371,371,0,20
