left_n,right_n,left_mean,right_mean,left_median,right_median,left_trimmed_mean,right_trimmed_mean,p_superiority,cliffs_delta,delta_mean,delta_median,delta_trimmed_mean,delta_mean_ci_low,delta_mean_ci_high,delta_median_ci_low,delta_median_ci_high,delta_trimmed_mean_ci_low,delta_trimmed_mean_ci_high,p_superiority_ci_low,p_superiority_ci_high,dataset,r_item,scale,contrast,metric,left_episodes,right_episodes
371,358,23.23984485793478,24.345700237842625,22.68574864174758,24.172982524032065,23.173781630755922,24.57795997101637,0.45404237377463896,-0.09191525245072207,-1.1058553799078439,-1.4872338822844853,-1.4041783402604473,-2.5336453054253694,0.4032670993964457,-5.18081116540994,1.3987435070320313,-2.9616845240274454,0.3643546596332866,0.3885483752034738,0.5204309841067809,cube,R2,floor_1e-2,interaction_vs_transport_free,neighbor_radius,20,20
0,0,,,,,,,,,,,,,,,,,,,,cube,R2,floor_1e-2,interaction_vs_transport_free,action_neighbor_distance,20,20
371,358,1.1662943073953584,1.0892497447232492,1.0992787917230356,1.0533883661385097,1.1254871928612213,1.0696425641384242,0.5674833230435634,0.13496664608712683,0.07704456267210924,0.04589042558452583,0.05584462872279716,0.055271062549438865,0.09993312814137863,0.013888171108767156,0.07079610906731351,0.0342637922879342,0.08112137594833631,0.5308683571037028,0.6099409999330327,cube,R2,floor_1e-2,interaction_vs_transport_free,local_expansion,20,20
371,358,0.5913105101615803,0.32674302095635904,0.47460496495606774,0.27689121740203165,0.5267777890630052,0.2891250288606945,0.7448613892695267,0.48972277853905344,0.2645674892052213,0.1977137475540361,0.2376527602023107,0.21979752219873083,0.30894172988801655,0.14895809257869164,0.246716456634878,0.19158314714586416,0.2781673648494282,0.7037544531144545,0.7805750615335494,cube,R2,floor_1e-2,interaction_vs_transport_free,model_sensitivity,20,20
371,358,9.049709977622875,4.591978747970559,6.8006886651758505,3.423216812107864,7.947909054225688,4.052410893198412,0.7255944224427412,0.4511888448854824,4.457731229652316,3.3774718530679864,3.895498161027276,3.8578858051239653,5.039009326051891,2.8719976086317027,4.022597023519676,3.315550910248722,4.554730046552138,0.6994098905624884,0.7495390708774,cube,R2,floor_1e-2,interaction_vs_transport_free,residual_norm,20,20
371,358,3.426277112993391,3.1533290795114404,3.2726666774217676,3.084978421254197,3.392967486507713,3.163301963409815,0.5493457212124863,0.09869144242497252,0.2729480334819505,0.1876882561675708,0.22966552309789767,0.0499687305094623,0.5108546544038257,-0.2522623376231655,0.6430653632910134,0.003219739306726724,0.4876470756364558,0.49760692704982984,0.5974944050743813,cube,R2,pca90,interaction_vs_transport_free,neighbor_radius,20,20
0,0,,,,,,,,,,,,,,,,,,,,cube,R2,pca90,interaction_vs_transport_free,action_neighbor_distance,20,20
371,358,1.2506843998211126,1.1794484084195311,1.1687059901366155,1.0937779858082055,1.1937856022228188,1.12927507140434,0.5731075607221913,0.14621512144438253,0.07123599140158143,0.07492800432840996,0.0645105308184788,0.018695429825444143,0.11929184847186527,0.03582223789035703,0.09450785449956789,0.02774473002442967,0.09900050499649372,0.521369800687225,0.6271009833213241,cube,R2,pca90,interaction_vs_transport_free,local_expansion,20,20
371,358,0.6168484967112694,0.3908671837858429,0.48965215850892435,0.3151622565601617,0.5472533426696481,0.3480274486603752,0.7064629794154407,0.41292595883088135,0.2259813129254265,0.17448990194876263,0.19922589400927287,0.16896622440724782,0.28111938963319283,0.12957628358930123,0.20543226645482301,0.15439428908065359,0.2365968572439118,0.6587747078405034,0.7447791362244814,cube,R2,pca90,interaction_vs_transport_free,model_sensitivity,20,20
371,358,1.7633065900520202,0.9286216623296774,1.1397027828227506,0.7201612876746203,1.387495619337529,0.8381332161711222,0.6472240208405488,0.2944480416810975,0.8346849277223428,0.41954149514813033,0.5493624031664067,0.663272922517132,1.0016898524802815,0.27466792138296126,0.5608418188179636,0.41145483105591546,0.708875646003382,0.6180242705209066,0.6749229160479133,cube,R2,pca90,interaction_vs_transport_free,residual_norm,20,20
371,358,10.470166661679073,9.998245314977524,10.82948314389902,10.466611790192449,10.63284201390646,10.219638211447958,0.5361321507626978,0.07226430152539565,0.4719213467015493,0.36287135370657175,0.4132038024585025,-0.12733691575749728,1.0902136901754198,-0.19857270774134378,1.214014371014465,-0.2747083507760274,1.2051636460647117,0.4649978714117675,0.5967818967209526,cube,R2,pca99,interaction_vs_transport_free,neighbor_radius,20,20
0,0,,,,,,,,,,,,,,,,,,,,cube,R2,pca99,interaction_vs_transport_free,action_neighbor_distance,20,20
