episode_ordinal,phase_decile,left_row_id,right_row_id,left_value,right_value,delta,left_position,right_position
18,1,688,685,-0.2448877990245819,-0.1265418827533722,-0.11834591627120972,0.175,0.1
18,5,704,703,-0.0047735916450619,-0.0403672717511653,0.0355936801061034,0.575,0.55
18,8,713,714,-0.0038720536977052,-0.0653189271688461,0.0614468734711409,0.8,0.825
19,1,725,724,-0.0303226020187139,-0.0333159416913986,0.0029933396726847007,0.15,0.125
19,1,726,723,-0.1582040786743164,-0.1826233714818954,0.024419292807578985,0.175,0.1
19,5,742,741,-0.0305345114320516,-0.1546138375997543,0.1240793261677027,0.575,0.55
20,1,763,762,-0.0132080391049385,-0.0705597177147865,0.057351678609848,0.15,0.125
20,1,764,761,-0.2436949461698532,-0.1534835547208786,-0.09021139144897461,0.175,0.1
20,3,769,772,-0.1347986608743667,0.0014288257807493,-0.136227486655116,0.3,0.375
20,5,780,779,-0.031522911041975,-0.1762118339538574,0.1446889229118824,0.575,0.55
20,8,789,790,-0.007464975118637,-0.0372723415493965,0.0298073664307595,0.8,0.825
21,1,801,800,-0.0017066122964024,-0.1036002188920974,0.101893606595695,0.15,0.125
21,1,802,799,-0.2407834678888321,-0.1493118703365326,-0.0914715975522995,0.175,0.1
21,3,807,810,-0.3248011767864227,-0.0290866494178771,-0.2957145273685456,0.3,0.375
21,5,818,817,-0.0314980819821357,-0.0404902696609497,0.008992187678813997,0.575,0.55
22,1,839,838,-0.1054941490292549,-0.1233262419700622,0.0178320929408073,0.15,0.125
22,1,840,837,-0.2250399589538574,-0.2400650382041931,0.015025079250335693,0.175,0.1
22,8,865,866,-0.0404036045074462,0.0082017220556736,-0.0486053265631198,0.8,0.825
23,1,877,876,-0.0163407269865274,-0.1435181647539138,0.12717743776738638,0.15,0.125
23,1,878,875,-0.2026632130146026,-0.2669608891010284,0.06429767608642578,0.175,0.1
23,5,894,893,-0.0451845303177833,-0.1701652854681015,0.1249807551503182,0.575,0.55
24,1,915,914,-0.0813474953174591,-0.0914141163229942,0.010066621005535098,0.15,0.125
24,1,916,913,-0.1501218378543853,-0.1012123525142669,-0.048909485340118394,0.175,0.1
24,5,932,931,-0.0687953233718872,-0.2018927484750747,0.1330974251031875,0.575,0.55
24,8,941,942,-0.0038426052778959,-0.0184092447161674,0.014566639438271502,0.8,0.825
25,1,953,952,-0.0182295497506856,-0.0694087296724319,0.0511791799217463,0.15,0.125
25,1,954,951,-0.1569926291704177,-0.1183229759335517,-0.038669653236866,0.175,0.1
25,3,959,962,-0.1452488005161285,-0.0336262062191963,-0.11162259429693222,0.3,0.375
25,5,970,969,-0.0315922349691391,-0.0815003141760826,0.0499080792069435,0.575,0.55
26,1,991,990,-0.0254733655601739,-0.0562523901462554,0.0307790245860815,0.15,0.125
26,1,992,989,-0.1375566124916076,-0.1296713799238205,-0.007885232567787115,0.175,0.1
26,5,1008,1007,-0.0361951142549514,-0.0434399358928203,0.007244821637868902,0.575,0.55
27,1,1029,1028,-0.0409670062363147,-0.1249070689082145,0.0839400626718998,0.15,0.125
27,1,1030,1027,-0.2441824972629547,-0.1611476391553878,-0.08303485810756692,0.175,0.1
27,5,1046,1045,-0.0372386127710342,-0.1299630999565124,0.0927244871854782,0.575,0.55
28,1,1067,1065,-0.0023665577173233,-0.1077678352594375,0.1054012775421142,0.15,0.1
28,3,1073,1076,-0.2385933399200439,-0.0068216323852539,-0.23177170753478998,0.3,0.375
