episode_id,model_step,raw_step,transition_block,mse,n_contacts,rel_contact,block_velocity_discontinuity,block_acceleration_proxy,pusher_acceleration_proxy,joint_acceleration_proxy,orientation_delta,normalized_position,block_acceleration_proxy_p90,event_block_kinematic_discontinuity,pusher_acceleration_proxy_p90,event_pusher_acceleration_proxy,joint_acceleration_proxy_p90,event_joint_acceleration_proxy,orientation_delta_p90,event_orientation_delta,normalized_position_p90,event_late_trajectory_position,high_mse_p90,high_mse
0,13,65,12,0.5023959279060364,0.0,-2.0,2.09191806648727,2.09191806648727,50.39910179899947,50.44249779048226,0.014060914516448975,0.6018518518518519,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,True
0,14,70,13,0.2952152192592621,0.0,-1.0,0.058254397693511005,0.058254397693511005,105.78227532089635,105.78229136127071,0.0,0.6481481481481481,19.032944695442215,False,87.73103337887648,True,88.29558190372961,True,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,True
0,15,75,14,0.4809652864933014,1.0,0.0,23.192986512128353,23.192986512128353,52.130253458798016,57.056795818116974,0.1545182466506958,0.6944444444444444,19.032944695442215,True,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,True
0,16,80,15,0.151319533586502,1.0,1.0,12.88125407660423,12.88125407660423,81.64882512625111,82.65867982906072,0.09240007400512695,0.7407407407407407,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
0,17,85,16,0.3284120857715606,0.0,2.0,10.695762192308882,10.695762192308882,57.736050544964165,58.71840308970503,0.0,0.7870370370370371,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,True
0,18,90,17,0.1827377080917358,0.0,3.0,0.0,0.0,77.12842438485377,77.12842438485377,0.0,0.8333333333333334,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
0,19,95,18,0.1253388971090316,0.0,4.0,15.018647713253408,15.018647713253408,57.6771733054366,59.600470632707086,0.03168302774429321,0.8796296296296297,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
0,20,100,19,0.6377933621406555,0.0,5.0,23.519071856157318,23.519071856157318,13.2888836674558,27.013721885409733,0.0025508999824523926,0.9259259259259259,19.032944695442215,True,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,True,0.2536340415477752,True
0,21,105,20,0.5521054267883301,0.0,6.0,12.74008119821061,12.74008119821061,13.772161361153493,18.761185929856588,0.03380250930786133,0.9722222222222222,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,True,0.2536340415477752,True
1,3,15,2,0.0200671683996915,0.0,-1.0,0.0,0.0,25.63278255467074,25.63278255467074,0.0,0.11278195488721804,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
1,4,20,3,0.033859983086586,1.0,0.0,0.0,0.0,13.944029448033454,13.944029448033454,0.0,0.15037593984962405,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
1,5,25,4,0.0501097850501537,1.0,1.0,0.0,0.0,15.678065035753676,15.678065035753676,0.0,0.18796992481203006,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
