episode_id,model_step,raw_step,transition_block,mse,n_contacts,original_event,block_speed,state_delta,pusher_block_distance_raw,pusher_block_distance,event_original,event_block_velocity_onset,event_large_state_change,event_proximity_threshold
1,3,15,2,0.0200671683996915,0.0,False,0.0,75.67280878678689,91.3328057111206,0.17838438615453242,False,False,False,False
1,4,20,3,0.033859983086586,1.0,True,0.0,78.05192020208938,51.79739592343819,0.10116678891296521,True,False,False,False
1,5,25,4,0.0501097850501537,1.0,True,0.0,70.86830598171831,64.49142569884658,0.12595981581805973,True,False,False,False
1,6,30,5,0.0408652536571025,1.0,True,0.0,97.53977811180286,93.25219245914487,0.18213318839676731,True,False,False,False
1,7,35,6,0.0137722855433821,0.0,False,0.0,121.29891308835961,85.32287124132546,0.16664623289321379,False,False,False,False
1,8,40,7,0.0521929152309894,0.0,False,24.699095685228603,65.88448684511252,77.55218829697102,0.15146911776752153,False,True,False,False
1,9,45,8,0.1490502804517746,0.0,False,50.75441719469187,75.1097395847242,77.66247569310933,0.15168452283810416,False,False,False,False
1,10,50,9,0.1806638687849044,0.0,False,42.6597991775619,76.58922320591654,77.34243310815103,0.15105943966435748,False,False,False,False
1,11,55,10,0.1814039498567581,0.0,False,30.722730572074653,54.804901362922145,76.77648420915934,0.14995407072101433,False,False,False,False
1,12,60,11,0.0819054767489433,0.0,False,18.21954077903457,28.924714817770266,76.83790051534938,0.15007402444404175,False,False,False,False
1,13,65,12,0.0074104834347963,0.0,False,7.076881659699182,25.82024260640566,76.9422422283854,0.15027781685231523,False,False,False,False
1,14,70,13,0.0650275722146034,0.0,False,2.3740699862361754,210.02629106869972,106.28886122916255,0.2075954320882081,False,False,False,False
1,15,75,14,0.0353165231645107,0.0,False,0.0,210.69170587697502,124.09245587847761,0.24236807788765158,False,False,False,False
1,16,80,15,0.0772411748766899,0.0,False,0.0,41.61698778173006,112.52916545064896,0.21978352627079875,False,False,False,False
1,17,85,16,0.0140706850215792,0.0,False,0.04105230235567528,18.208253161291612,113.53356528314227,0.22174524469363724,False,False,False,False
1,18,90,17,0.0437456518411636,0.0,False,0.2177066941257569,20.68064771117731,114.38082277285179,0.22340004447822615,False,False,False,False
1,19,95,18,0.0292340423911809,0.0,False,0.03920352334819425,20.430381270650255,115.71056828056574,0.22599720367297996,False,False,False,False
1,20,100,19,0.0526595301926136,0.0,False,0.0029542607666496372,189.45459997875173,132.92216628115574,0.2596136060178823,False,False,False,False
1,21,105,20,0.1491581350564956,0.0,False,0.0,177.57317574144787,134.5144077222077,0.2627234525824369,False,False,False,False
1,22,110,21,0.080274187028408,0.0,False,0.0,209.17768013550298,116.0905076046044,0.22673927266524296,False,False,False,False
1,23,115,22,0.0897866562008857,1.0,True,0.0,218.1051433400127,64.64672246427877,0.12626312981304447,True,False,False,False
1,24,120,23,0.2790276706218719,1.0,True,0.0,95.30875240707071,23.223140407757672,0.0453576961089017,True,False,False,True
1,25,125,24,0.21625916659832,1.0,True,20.045599286916648,43.63229450729532,14.86425567906787,0.029031749373179434,True,False,False,False
1,26,130,25,0.7161139845848083,1.0,True,37.13929607284399,54.971740421095504,14.79581788387128,0.028898081804436093,True,False,False,False
2,3,15,2,0.114662081003189,1.0,True,0.0,110.15355499438047,84.34813966107095,0.1647424602755292,True,False,False,False
2,4,20,3,0.1188696026802063,1.0,True,0.0,173.1393300921602,55.736941662409045,0.10886121418439267,True,False,False,False
2,5,25,4,0.0625429823994636,1.0,True,0.0,111.19875245176533,64.61576806997827,0.12620267201167631,True,False,False,False
2,6,30,5,0.0657816231250763,1.0,True,15.317678629178989,126.43144055708947,51.087961857992575,0.09978117550389175,True,True,False,False
2,7,35,6,0.0824920013546943,1.0,True,38.61075371539978,75.59098993962692,25.201622284437505,0.049221918524292,True,False,False,True
2,8,40,7,0.0778709128499031,1.0,True,20.231507394896056,53.11478714387718,40.21848512936954,0.07855172876829988,True,False,False,False
