row_id,episode_ordinal,regime,valid_neighbors,n_neighbors,neighbor_radius,input_spread,successor_spread,residual_spread,local_expansion,model_sensitivity,residual_norm,dataset,scale
swm/FetchSlideDense-v3::71::33,swm/FetchSlideDense-v3::71,free,True,10,3.9932245567339244,3.9932245567339244,1.958210368402399,0.25883985579412067,0.49038323304413106,0.06481975959945185,0.1843390397925935,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::34,swm/FetchSlideDense-v3::71,free,True,10,3.9631476012927047,3.9631476012927047,2.027313679655652,0.23563294204165267,0.5115413009079904,0.05945600965373927,0.18059312402059924,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::35,swm/FetchSlideDense-v3::71,free,True,10,3.9123672006957335,3.9123672006957335,1.6476342315111094,0.20895491707485878,0.42113486464616917,0.053408820378031095,0.19414932445068978,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::36,swm/FetchSlideDense-v3::71,free,True,10,3.91018717459831,3.91018717459831,1.6537248062518506,0.2046596448275331,0.42292727493837584,0.05234011460041106,0.15036239566310078,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::37,swm/FetchSlideDense-v3::71,free,True,10,3.9768226617659614,3.9768226617659614,1.9457415531481326,0.17884837964315492,0.48927038458488864,0.04497268167440358,0.14967181675312002,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::38,swm/FetchSlideDense-v3::71,free,True,10,3.957079399644436,3.957079399644436,1.8764090977456909,0.2748781387780346,0.4741904086924048,0.06946490353535333,0.22792365359005073,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::39,swm/FetchSlideDense-v3::71,free,True,10,4.215962416910333,4.215962416910333,1.6616244719218973,0.22883856934384564,0.3941269649978565,0.05427908190688994,0.20154298054885234,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::40,swm/FetchSlideDense-v3::71,free,True,10,4.0524992049784405,4.0524992049784405,1.3911563216257026,0.19289968138321228,0.3432835520156761,0.047600177477206566,0.16693721147736973,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::41,swm/FetchSlideDense-v3::71,free,True,10,3.948605827982381,3.948605827982381,1.7847548617100382,0.2201387957578761,0.4519962081456974,0.05575101829557913,0.1487329020758019,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::42,swm/FetchSlideDense-v3::71,free,True,10,3.6742994414457546,3.6742994414457546,1.317081757229811,0.1797313568315747,0.35845792598535975,0.04891581638780492,0.16899916663998837,fetch,normalized_fullstate
